['ForceDecks Test Results Export', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Export Date', '4/20/2021 17:06', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Export Profile', 'CMJ', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Export Test Type', 'Countermovement Jump', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Export Trials', 'Results from all trials within a test, one row/column per trial', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Key Result', 'N/A', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Athlete', 'ExtId', 'Test Type', 'Test Date', 'Body Weight [kg]', 'Trial', 'Athlete Standing Weight [kg]', 'Auto Weight End [s]', 'Auto Weight Start [s]', 'Braking Phase Duration:Concentric Duration', 'Braking Phase Duration:Contraction Time ', 'Braking Phase Duration [s]', 'CMJ Stiffness [N/m]', 'Concentric Duration [ms]', 'Concentric Impulse-50ms [Ns]', 'Concentric Impulse-100ms [Ns]', 'Concentric Impulse [Ns]', 'Concentric Maximum RFD [N/s]', 'Concentric Mean Force [N]', 'Concentric Mean Power / BM [W/kg]', 'Concentric Mean Power [W]', 'Concentric Peak Force / BM [N/kg]', 'Concentric Peak Force [N]', 'Concentric Peak Velocity [m/s]', 'Concentric RFD - 50ms [N/s]', 'Concentric RFD - 100ms [N/s]', 'Concentric RFD - 200ms [N/s]', 'Concentric RFD / BM [N/s/kg]', 'Concentric RFD [N/s]', 'Concentric RPD-50ms / BM [W/s/kg]', 'Concentric RPD - 50ms [W/s]', 'Concentric RPD-100ms / BM [W/s/kg]', 'Concentric RPD - 100ms [W/s]', 'Concentric RPD / BM [W/s/kg]', 'Concentric RPD [W/s]', 'Concentric Time to Peak Force [ms]', 'Contraction Time:Eccentric Duration [%]', 'Contraction Time [ms]', 'Countermovement Depth [cm]', 'Eccentric:Concentric Duration [%]', 'Eccentric:Concentric Mean Force Ratio [%]', 'Eccentric Acceleration Phase Duration [s]', 'Eccentric Braking Impulse [Ns]', 'Eccentric Braking RFD-100ms / BM [N/s/kg]', 'Eccentric Braking RFD-100ms [N/s]', 'Eccentric Braking RFD / BM [N/s/kg]', 'Eccentric Braking RFD [N/s]', 'Eccentric Deceleration Impulse [Ns]', 'Eccentric Deceleration Phase Duration [s]', 'Eccentric Deceleration RFD / BM [N/s/kg]', 'Eccentric Deceleration RFD [N/s]', 'Eccentric Duration [ms]', 'Eccentric Mean Braking Force [N]', 'Eccentric Mean Deceleration Force [N]', 'Eccentric Mean Force [N]', 'Eccentric Mean Power / BM [W/kg]', 'Eccentric Mean Power [W]', 'Eccentric Peak Force / BM [N/kg]', 'Eccentric Peak Force [N]', 'Eccentric Peak Power [W]', 'Eccentric Peak Velocity [m/s]', 'Eccentric Unloading Impulse [Ns]', 'Flight Time:Contraction Time', 'FlightTime:Eccentric Duration', 'Flight Time [ms]', 'Force at Peak Power [N]', 'Force at Zero Velocity [N]', 'Jump Height (Flight Time) [cm]', 'Jump Height (Flight Time) in Inches [in]', 'Jump Height (Imp-Dis) [cm]', 'Jump Height (Imp-Mom) [cm]', 'Jump Height (Imp-Mom) in Inches [in]', 'Lower-Limb Stiffness [N/m]', 'Mean Eccentric+Concentric Power:Time [W/s]', 'Minimum Eccentric Force [N]', 'Movement Start to Peak Force [s]', 'Movement Start to Peak Power [s]', 'P1 Concentric Impulse [Ns]', 'P2 Concentric Impulse [Ns]', 'Peak Net Takeoff Force / BM [N/kg]', 'Peak Power / BM [W/kg]', 'Peak Power [W]', 'Peak Takeoff Acceleration [m/s²]', 'Positive Impulse [Ns]', 'Positive Takeoff Impulse [Ns]', 'RSI-modified [m/s]', 'Start of Braking Phase [s]', 'Start of Concentric Phase [s]', 'Start of Eccentric Deceleration Phase [s]', 'Start of Integration [s]', 'Start of Movement [s]', 'Start of Movement Detection Threshold [N]', 'Takeoff Peak Force / BM [N/kg]', 'Takeoff Peak Force [N]', 'Time to Braking Phase [s]', 'Total Work [J]', 'Velocity at Peak Power [m/s]', 'Jump Height (FT) Relative Landing RFD [N/s/cm]', 'Jump Height (FT) Relative Peak Landing Force [N/cm]', 'Landing Net Peak Force / BM [N/kg]', 'Landing RFD [N/s]', 'Mean Landing Power [W]', 'Peak Landing Acceleration [m/s²]', 'Peak Landing Force / BM [N]', 'Peak Landing Force [N]', 'Peak Landing Power [W]', 'Peak Landing Velocity [m/s]', 'Athlete Standing Weight Asymmetry [% L,R]', 'CMJ Stiffness Asymmetry [% L,R]', 'Concentric Impulse-50ms Asymmetry [% L,R]', 'Concentric Impulse-100ms Asymmetry [% L,R]', 'Concentric Impulse Asymmetry [% L,R]', 'Concentric Maximum RFD Asymmetry [% L,R]', 'Concentric Mean Force Asymmetry [% L,R]', 'Concentric Peak Force Asymmetry [% L,R]', 'Concentric RFD Asymmetry [% L,R]', 'Concentric Time to Peak Force Asymmetry [% L,R]', 'Eccentric:Concentric Mean Force Ratio Asymmetry [% L,R]', 'Eccentric Braking Impulse (Asymmetry) [% L,R]', 'Eccentric Braking RFD-100ms Asymmetry [% L,R]', 'Eccentric Braking RFD Asymmetry [% L,R]', 'Eccentric Deceleration Impulse (Asymmetry) [% L,R]', 'Eccentric Deceleration RFD Asymmetry [% L,R]', 'Eccentric Mean Force Asymmetry [% L,R]', 'Eccentric Peak Force Asymmetry [% L,R]', 'Eccentric Unloading Impulse (Asymmetry) [% L,R]', 'Force at Peak Power Asymmetry [% L,R]', 'Force at Zero Velocity Asymmetry [% L,R]', 'P1 Concentric Impulse Asymmetry [% L,R]', 'P2 Concentric Impulse Asymmetry [% L,R]', 'Positive Impulse Asymmetry [% L,R]', 'Positive Takeoff Impulse Asymmetry [% L,R]', 'Start of Movement Asymmetry [% L,R]', 'Takeoff Peak Force Asymmetry [% L,R]', 'Landing RFD Asymmetry [% L,R]', 'Peak Landing Force Asymmetry [% L,R]', 'Athlete Standing Weight (Left) [kg]', 'Athlete Standing Weight (Right) [kg]', 'CMJ Left-Limb Stiffness [N/m]', 'CMJ Right-Limb Stiffness [N/m]', 'Concentric Impulse-50ms (Left) [Ns]', 'Concentric Impulse-50ms (Right) [Ns]', 'Concentric Impulse-100ms (Left) [Ns]', 'Concentric Impulse-100ms (Right) [Ns]', 'Concentric Impulse (Left) [Ns]', 'Concentric Impulse (Right) [Ns]', 'Concentric Maximum RFD (Left) [N/s]', 'Concentric Maximum RFD (Right) [N/s]', 'Concentric Mean Force (Left) [N]', 'Concentric Mean Force (Right) [N]', 'Concentric Peak Force (Left) [N]', 'Concentric Peak Force (Right) [N]', 'Concentric RFD (Left) [N/s]', 'Concentric RFD (Right) [N/s]', 'Concentric Time to Peak Force (Left) [ms]', 'Concentric Time to Peak Force (Right) [ms]', 'Eccentric:Concentric Mean Force Ratio (Left) [%]', 'Eccentric:Concentric Mean Force Ratio (Right) [%]', 'Eccentric Braking Impulse (Left) [Ns]', 'Eccentric Braking Impulse (Right) [Ns]', 'Eccentric Braking RFD-100ms (Left) [N/s]', 'Eccentric Braking RFD-100ms (Right) [N/s]', 'Eccentric Braking RFD (Left) [N/s]', 'Eccentric Braking RFD (Right) [N/s]', 'Eccentric Deceleration Impulse (Left) [Ns]', 'Eccentric Deceleration Impulse (Right) [Ns]', 'Eccentric Deceleration RFD (Left) [N/s]', 'Eccentric Deceleration RFD (Right) [N/s]', 'Eccentric Mean Force (Left) [N]', 'Eccentric Mean Force (Right) [N]', 'Eccentric Peak Force (Left) [N]', 'Eccentric Peak Force (Right) [N]', 'Eccentric Unloading Impulse (Left) [Ns]', 'Eccentric Unloading Impulse (Right) [Ns]', 'Force at Peak Power (Left) [N]', 'Force at Peak Power (Right) [N]', 'Force at Zero Velocity (Left) [N]', 'Force at Zero Velocity (Right) [N]', 'P1 Concentric Impulse (Left) [Ns]', 'P1 Concentric Impulse (Right) [Ns]', 'P2 Concentric Impulse (Left) [Ns]', 'P2 Concentric Impulse (Right) [Ns]', 'Positive Impulse (Left) [Ns]', 'Positive Impulse (Right) [Ns]', 'Positive Takeoff Impulse (Left) [Ns]', 'Positive Takeoff Impulse (Right) [Ns]', 'Start of Movement (Left) [s]', 'Start of Movement (Right) [s]', 'Takeoff Peak Force (Left) [N]', 'Takeoff Peak Force (Right) [N]', 'Landing RFD (Left) [N/s]', 'Landing RFD (Right) [N/s]', 'Peak Landing Force (Left) [N]', 'Peak Landing Force (Right) [N]', 'Eccentric Peak Power / BM [W/kg]', 'Eccentric Peak Power:Concentric Peak Power', 'P2 Concentric Impulse:P1 Concentric Impulse', 'Vertical Velocity at Takeoff [m/s]', 'Concentric Impulse-100ms:Concentric Impulse (Asymmetry) [% L,R]', 'Concentric RFD - 100ms (Asymmetry) [% L,R]', 'Concentric RFD - 200ms (Asymmetry) [% L,R]', 'Concentric RFD - 50ms (Asymmetry) [% L,R]', 'P2 Concentric Impulse:P1 Concentric Impulse (Asymmetry) [% L,R]', 'Landing Impulse (Asymmetry) [% L,R]', 'Concentric Impulse-100ms:Concentric Impulse (Left)', 'Concentric Impulse-100ms:Concentric Impulse (Right)', 'Concentric RFD - 100ms (Left) [N/s]', 'Concentric RFD - 100ms (Right) [N/s]', 'Concentric RFD - 200ms (Left) [N/s]', 'Concentric RFD - 200ms (Right) [N/s]', 'Concentric RFD - 50ms (Left) [N/s]', 'Concentric RFD - 50ms (Right) [N/s]', 'P2 Concentric Impulse:P1 Concentric Impulse (Left)', 'P2 Concentric Impulse:P1 Concentric Impulse (Right)', 'Landing Impulse (Left) [Ns]', 'Landing Impulse (Right) [Ns]']
['Athlete 0', '', 'Countermovement Jump', '4/12/2021 18:05', '99.8', 'Trial 1', '', '', '', '106.25', '36.12', '0.238', '9501', '224', '69.2', '145.7', '284.2', '3568', '2243', '33.9', '3384', '26.6', '2659', '2.93', '1596', '2570', '-4411', '23.4', '2340', '331.7', '33106.1', '376.9', '37619.1', '378.5', '37771.8', '139', '151.5', '659', '-28.0', '194.2', '43.7', '0.294', '81.1', '87', '8679', '91', '9095', '137.0', '0.141', '96', '9605', '435', '1319.2', '1948.2', '979', '6.295', '628', '23.4', '2335', '2172', '-1.377', '-137.4', '0.88', '1.33', '580', '2471', '2334', '41.2', '16.2', '41.2', '41.2', '16.2', '7735.80', '2380.5', '169.5', '0.574', '0.602', '165.2', '119.0', '16.8', '63.3', '6317', '16.839', '787.4', '429.9', '0.63', '4.765', '5.003', '4.862', '4.568', '4.568', '18.804', '26.6', '2659', '0.197', '1035', '2.556', '3307.892', '178.626', '64.001', '136407', '801.532', '64.001', '74', '7366', '15952', '0.786', '', '13.3', '29.1', '27.2', '20.1', '-60.0', '20.1', '13.3', '-78.2', '', '-9.4', '8.0', '67.9', '41.8', '11.4', '44.9', '11.8', '23.2', '12.5', '9.6', '27.1', '26.1', '12.2', '11.7', '16.8', '', '13.3', '9.3', '11.0', '', '', '4478', '5165', '49.0', '69.1', '102.6', '140.9', '223.6', '279.8', '3594', '1438', '996', '1246', '1253', '1446', '1921', '419', '', '', '46.1', '41.7', '150.5', '163.5', '1920', '5984', '3334', '5726', '129.2', '145.8', '3414', '6191', '459', '520', '1036', '1350', '70.2', '80.2', '1173', '1298', '984', '1350', '116.8', '158.0', '106.8', '121.8', '650.7', '736.6', '351.3', '422.1', '', '', '1253', '1446', '65596', '72313', '3477', '3905', '21.8', '0.34', '0.72', '2.84', '8.9', '-56.4', '96.6', '83.8', '-15.8', '10.5', '0.46', '0.50', '1790', '780', '-1487', '-2924', '222', '1374', '0.91', '0.77', '59.4', '66.4']
['Athlete 0', '', 'Countermovement Jump', '4/12/2021 18:05', '99.8', 'Trial 2', '', '', '', '94.21', '35.67', '0.244', '7487', '259', '67.4', '132.9', '296.5', '', '2120', '33.5', '3346', '24.3', '2421', '3.05', '-2316', '-1555', '-493', '0.0', '0', '308.1', '30749.6', '300.2', '29956.9', '306.4', '30579.9', '0', '160.9', '684', '-34.2', '164.1', '46.2', '0.286', '94.5', '77', '7720', '97', '9704', '170.9', '0.139', '104', '10331', '425', '1365.5', '2204.9', '979', '7.877', '786', '25.7', '2562', '3064', '-1.717', '-171.4', '0.91', '1.46', '620', '2283', '2421', '47.1', '18.6', '44.8', '44.9', '17.7', '7331.78', '2571.5', '53.0', '0.376', '0.629', '170.7', '125.8', '15.9', '62.6', '6249', '14.449', '903.7', '476.2', '0.69', '12.522', '12.766', '12.627', '12.341', '12.341', '19.404', '25.7', '2562', '0.181', '1205', '2.737', '3524.812', '140.992', '56.763', '166092', '953.473', '56.763', '67', '6644', '17371', '1.119', '', '16.3', '24.9', '23.6', '16.6', '', '16.6', '15.1', '0.0', '', '4.5', '18.5', '53.8', '27.6', '19.6', '26.2', '20.4', '16.3', '22.4', '6.0', '22.0', '22.4', '9.4', '15.3', '17.6', '', '16.3', '-32.3', '-11.8', '', '', '3413', '4078', '49.9', '66.4', '99.9', '130.8', '250.0', '299.9', '', '', '964', '1156', '1155', '1360', '0', '0', '', '', '45.1', '47.2', '149.7', '183.6', '3847', '8326', '4241', '5858', '136.8', '170.2', '4386', '5945', '434', '545', '1168', '1395', '47.4', '61.1', '1106', '1177', '1061', '1360', '129.7', '167.2', '120.3', '132.7', '710.6', '838.8', '384.8', '467.2', '', '', '1168', '1395', '139891', '94688', '4616', '4072', '30.7', '0.49', '0.74', '2.97', '8.4', '85.3', '-100.0', '-56.2', '-14.4', '17.9', '0.40', '0.44', '-545', '-1010', '322', '-815', '-1412', '-904', '0.93', '0.79', '41.1', '50.0']
['Athlete 0', '', 'Countermovement Jump', '4/12/2021 18:05', '99.8', 'Trial 3', '', '', '', '93.97', '35.19', '0.265', '6716', '282', '68.1', '127.1', '298.5', '', '2034', '32.6', '3256', '24.7', '2469', '3.08', '-4818', '-3840', '-857', '0.0', '0', '303.6', '30297.3', '265.6', '26505.1', '273.3', '27279.7', '0', '159.9', '753', '-37.5', '167.0', '48.2', '0.321', '96.9', '65', '6443', '91', '9035', '167.6', '0.150', '99', '9928', '471', '1344.1', '2093.5', '980', '7.784', '777', '25.2', '2516', '2811', '-1.680', '-167.7', '0.84', '1.35', '636', '2220', '2469', '49.6', '19.5', '45.5', '45.6', '17.9', '6516.71', '2268.5', '74.7', '0.456', '0.696', '171.5', '127.0', '15.4', '61.5', '6140', '14.933', '919.0', '475.2', '0.66', '20.056', '20.321', '20.171', '19.850', '19.850', '18.704', '25.2', '2516', '0.206', '1288', '2.766', '5767.784', '144.195', '61.835', '285992', '1015.927', '61.835', '72', '7150', '19668', '1.160', '', '17.4', '21.8', '21.2', '14.5', '', '14.5', '16.6', '0.0', '', '3.6', '16.3', '-5.2', '19.0', '17.7', '25.5', '17.6', '17.4', '17.6', '4.6', '17.8', '20.2', '7.4', '11.9', '15.6', '', '17.4', '-43.1', '-19.2', '', '', '3038', '3678', '51.3', '65.6', '99.1', '125.8', '264.7', '309.8', '', '', '937', '1097', '1130', '1355', '0', '0', '', '', '47.2', '49.0', '162.3', '194.0', '3555', '3370', '4090', '5047', '142.0', '172.4', '4237', '5691', '443', '537', '1138', '1378', '66.2', '80.3', '1084', '1136', '1114', '1355', '137.4', '172.2', '127.4', '137.6', '771.2', '874.9', '404.4', '478.9', '', '', '1138', '1378', '276616', '157267', '5256', '4246', '28.2', '0.46', '0.74', '2.99', '7.8', '16.0', '-100.0', '-74.1', '-13.8', '5.3', '0.37', '0.41', '-1778', '-2062', '62', '-919', '-3060', '-1758', '0.93', '0.80', '35.8', '37.8']
