['ForceDecks Test Results Export', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Export Date', '4/20/2021 17:11', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Export Profile', 'Squat Jump All Variables', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Export Test Type', 'Squat Jump', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Export Trials', 'Results from all trials within a test, one row/column per trial', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Key Result', 'N/A', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Athlete', 'Test Type', 'Test Date', 'Body Weight [kg]', 'Trial', 'Athlete Standing Weight Asymmetry [% L,R]', 'Athlete Standing Weight [kg]', 'Auto Weight End [s]', 'Auto Weight Start [s]', 'Concentric Impulse Asymmetry [% L,R]', 'Concentric Impulse-100ms Asymmetry [% L,R]', 'Concentric Impulse-100ms:Concentric Impulse (Asymmetry) [% L,R]', 'Concentric Impulse-50ms Asymmetry [% L,R]', 'Concentric Maximum RFD Asymmetry [% L,R]', 'Concentric Mean Force Asymmetry [% L,R]', 'Concentric RFD - 100ms (Asymmetry) [% L,R]', 'Concentric RFD - 200ms (Asymmetry) [% L,R]', 'Concentric RFD - 50ms (Asymmetry) [% L,R]', 'Concentric RFD Asymmetry [% L,R]', 'Concentric Time to Peak Force Asymmetry [% L,R]', 'Force at Peak Power Asymmetry [% L,R]', 'P1 Concentric Impulse Asymmetry [% L,R]', 'P2 Concentric Impulse Asymmetry [% L,R]', 'P2 Concentric Impulse:P1 Concentric Impulse (Asymmetry) [% L,R]', 'Positive Impulse Asymmetry [% L,R]', 'Positive Takeoff Impulse Asymmetry [% L,R]', 'Start of Movement Asymmetry [% L,R]', 'Takeoff Peak Force Asymmetry [% L,R]', 'Landing Impulse (Asymmetry) [% L,R]', 'Landing RFD Asymmetry [% L,R]', 'Peak Landing Force Asymmetry [% L,R]', 'Athlete Standing Weight (Left) [kg]', 'Athlete Standing Weight (Right) [kg]', 'Concentric Impulse (Left) [Ns]', 'Concentric Impulse (Right) [Ns]', 'Concentric Impulse-100ms (Left) [Ns]', 'Concentric Impulse-100ms (Right) [Ns]', 'Concentric Impulse-100ms:Concentric Impulse (Left)', 'Concentric Impulse-100ms:Concentric Impulse (Right)', 'Concentric Impulse-50ms (Left) [Ns]', 'Concentric Impulse-50ms (Right) [Ns]', 'Concentric Maximum RFD (Left) [N/s]', 'Concentric Maximum RFD (Right) [N/s]', 'Concentric Mean Force (Left) [N]', 'Concentric Mean Force (Right) [N]', 'Concentric RFD - 100ms (Left) [N/s]', 'Concentric RFD - 100ms (Right) [N/s]', 'Concentric RFD - 200ms (Left) [N/s]', 'Concentric RFD - 200ms (Right) [N/s]', 'Concentric RFD - 50ms (Left) [N/s]', 'Concentric RFD - 50ms (Right) [N/s]', 'Concentric RFD (Left) [N/s]', 'Concentric RFD (Right) [N/s]', 'Concentric Time to Peak Force (Left) [ms]', 'Concentric Time to Peak Force (Right) [ms]', 'Force at Peak Power (Left) [N]', 'Force at Peak Power (Right) [N]', 'P1 Concentric Impulse (Left) [Ns]', 'P1 Concentric Impulse (Right) [Ns]', 'P2 Concentric Impulse (Left) [Ns]', 'P2 Concentric Impulse (Right) [Ns]', 'P2 Concentric Impulse:P1 Concentric Impulse (Left)', 'P2 Concentric Impulse:P1 Concentric Impulse (Right)', 'Positive Impulse (Left) [Ns]', 'Positive Impulse (Right) [Ns]', 'Positive Takeoff Impulse (Left) [Ns]', 'Positive Takeoff Impulse (Right) [Ns]', 'Start of Movement (Left) [s]', 'Start of Movement (Right) [s]', 'Takeoff Peak Force (Left) [N]', 'Takeoff Peak Force (Right) [N]', 'Landing Impulse (Left) [Ns]', 'Landing Impulse (Right) [Ns]', 'Landing RFD (Left) [N/s]', 'Landing RFD (Right) [N/s]', 'Peak Landing Force (Left) [N]', 'Peak Landing Force (Right) [N]']
['Athlete 0', 'Squat Jump', '12/18/2019 15:30', '87.3', 'Trial 1', '', '', '', '', '4.7', '-13.4', '-17.5', '-11.1', '38.8', '4.6', '-38.8', '9.9', '-86.6', '25.5', '', '18.1', '-9.1', '14.2', '22.0', '15.0', '3.7', '', '12.0', '7.2', '54.5', '41.9', '', '', '287.7', '301.7', '50.5', '43.7', '0.18', '0.14', '24.0', '21.3', '2046', '3344', '643', '674', '1053', '644', '1267', '1406', '1016', '136', '1368', '1835', '', '', '810', '988', '131.5', '119.5', '156.2', '182.2', '1.19', '1.52', '606.5', '713.4', '283.0', '293.8', '', '', '902', '1025', '49.2', '53.0', '18152', '39936', '1670', '2875']
['Athlete 0', 'Squat Jump', '12/18/2019 15:30', '87.3', 'Trial 2', '', '', '', '', '6.2', '-9.0', '-14.7', '-8.6', '3.5', '6.2', '-100.0', '29.8', '-27.9', '21.0', '', '14.1', '-2.0', '11.0', '12.9', '15.6', '7.3', '', '8.1', '25.5', '45.5', '37.7', '', '', '327.7', '349.5', '38.8', '35.3', '0.12', '0.10', '19.9', '18.2', '3012', '3122', '602', '642', '-582', '-267', '539', '768', '-1586', '-1240', '1144', '1449', '', '', '811', '944', '130.7', '128.0', '197.0', '221.5', '1.51', '1.73', '623.1', '738.7', '269.0', '290.3', '', '', '915', '996', '51.1', '68.7', '13966', '25649', '1327', '2129']
['Athlete 0', 'Squat Jump', '12/18/2019 15:30', '87.3', 'Trial 3', '', '', '', '', '4.1', '-13.7', '-17.2', '-16.1', '24.9', '4.0', '-100.0', '-100.0', '91.9', '29.6', '', '7.2', '-2.0', '7.8', '9.7', '22.8', '9.1', '', '9.1', '29.2', '46.3', '45.8', '', '', '365.5', '380.9', '46.6', '40.2', '0.13', '0.11', '24.4', '20.4', '2614', '3482', '538', '560', '-787', '-266', '-552', '-208', '24', '298', '713', '1013', '', '', '822', '886', '147.2', '144.2', '218.3', '236.7', '1.48', '1.64', '412.6', '534.8', '254.8', '280.2', '', '', '871', '958', '57.9', '81.7', '10236', '19074', '1013', '1869']
