['ForceDecks Test Results Export', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Export Date', '4/20/2021 17:28', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Export Profile', 'Squat Jump All Variables', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Export Test Type', 'Squat Jump', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Export Trials', 'Results from all trials within a test, one row/column per trial', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Key Result', 'N/A', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Athlete', 'Test Type', 'Test Date', 'Body Weight [kg]', 'Trial', 'Athlete Standing Weight Asymmetry [% L,R]', 'Athlete Standing Weight [kg]', 'Auto Weight End [s]', 'Auto Weight Start [s]', 'Concentric Impulse Asymmetry [% L,R]', 'Concentric Impulse-100ms Asymmetry [% L,R]', 'Concentric Impulse-100ms:Concentric Impulse (Asymmetry) [% L,R]', 'Concentric Impulse-50ms Asymmetry [% L,R]', 'Concentric Maximum RFD Asymmetry [% L,R]', 'Concentric Mean Force Asymmetry [% L,R]', 'Concentric RFD - 100ms (Asymmetry) [% L,R]', 'Concentric RFD - 200ms (Asymmetry) [% L,R]', 'Concentric RFD - 50ms (Asymmetry) [% L,R]', 'Concentric RFD Asymmetry [% L,R]', 'Concentric Time to Peak Force Asymmetry [% L,R]', 'Force at Peak Power Asymmetry [% L,R]', 'P1 Concentric Impulse Asymmetry [% L,R]', 'P2 Concentric Impulse Asymmetry [% L,R]', 'P2 Concentric Impulse:P1 Concentric Impulse (Asymmetry) [% L,R]', 'Positive Impulse Asymmetry [% L,R]', 'Positive Takeoff Impulse Asymmetry [% L,R]', 'Start of Movement Asymmetry [% L,R]', 'Takeoff Peak Force Asymmetry [% L,R]', 'Landing Impulse (Asymmetry) [% L,R]', 'Landing RFD Asymmetry [% L,R]', 'Peak Landing Force Asymmetry [% L,R]', 'Athlete Standing Weight (Left) [kg]', 'Athlete Standing Weight (Right) [kg]', 'Concentric Impulse (Left) [Ns]', 'Concentric Impulse (Right) [Ns]', 'Concentric Impulse-100ms (Left) [Ns]', 'Concentric Impulse-100ms (Right) [Ns]', 'Concentric Impulse-100ms:Concentric Impulse (Left)', 'Concentric Impulse-100ms:Concentric Impulse (Right)', 'Concentric Impulse-50ms (Left) [Ns]', 'Concentric Impulse-50ms (Right) [Ns]', 'Concentric Maximum RFD (Left) [N/s]', 'Concentric Maximum RFD (Right) [N/s]', 'Concentric Mean Force (Left) [N]', 'Concentric Mean Force (Right) [N]', 'Concentric RFD - 100ms (Left) [N/s]', 'Concentric RFD - 100ms (Right) [N/s]', 'Concentric RFD - 200ms (Left) [N/s]', 'Concentric RFD - 200ms (Right) [N/s]', 'Concentric RFD - 50ms (Left) [N/s]', 'Concentric RFD - 50ms (Right) [N/s]', 'Concentric RFD (Left) [N/s]', 'Concentric RFD (Right) [N/s]', 'Concentric Time to Peak Force (Left) [ms]', 'Concentric Time to Peak Force (Right) [ms]', 'Force at Peak Power (Left) [N]', 'Force at Peak Power (Right) [N]', 'P1 Concentric Impulse (Left) [Ns]', 'P1 Concentric Impulse (Right) [Ns]', 'P2 Concentric Impulse (Left) [Ns]', 'P2 Concentric Impulse (Right) [Ns]', 'P2 Concentric Impulse:P1 Concentric Impulse (Left)', 'P2 Concentric Impulse:P1 Concentric Impulse (Right)', 'Positive Impulse (Left) [Ns]', 'Positive Impulse (Right) [Ns]', 'Positive Takeoff Impulse (Left) [Ns]', 'Positive Takeoff Impulse (Right) [Ns]', 'Start of Movement (Left) [s]', 'Start of Movement (Right) [s]', 'Takeoff Peak Force (Left) [N]', 'Takeoff Peak Force (Right) [N]', 'Landing Impulse (Left) [Ns]', 'Landing Impulse (Right) [Ns]', 'Landing RFD (Left) [N/s]', 'Landing RFD (Right) [N/s]', 'Peak Landing Force (Left) [N]', 'Peak Landing Force (Right) [N]']
['Athlete 0', 'Squat Jump', '3/4/2020 16:54', '65.5', 'Trial 1', '', '', '', '', '-20.3', '-3.7', '17.2', '-1.7', '-7.7', '-20.3', '-14.8', '-14.4', '-13.6', '-46.3', '', '-32.4', '-6.4', '-31.6', '-26.9', '-16.0', '-17.9', '', '-26.0', '-39.9', '36.0', '10.1', '', '', '269.0', '214.3', '39.6', '38.1', '0.15', '0.18', '18.1', '17.8', '1612', '1488', '553', '440', '1381', '1177', '1347', '1153', '1262', '1090', '1101', '591', '', '', '760', '514', '120.3', '112.6', '148.7', '101.7', '1.24', '0.90', '518.8', '436.0', '259.6', '213.2', '', '', '762', '564', '38.7', '23.2', '16790', '26223', '1226', '1364']
['Athlete 0', 'Squat Jump', '3/4/2020 16:54', '65.5', 'Trial 2', '', '', '', '', '-5.4', '12.2', '17.0', '14.3', '-2.4', '-5.4', '100.0', '-58.3', '100.0', '-56.1', '', '-28.8', '14.5', '-15.4', '-27.6', '6.8', '-13.0', '', '-16.5', '-3.6', '23.2', '7.2', '', '', '396.0', '374.7', '28.3', '32.3', '0.07', '0.09', '14.2', '16.5', '2082', '2032', '399', '377', '-118', '-273', '-329', '-208', '-50', '-310', '482', '212', '', '', '698', '497', '122.0', '142.7', '274.0', '231.9', '2.25', '1.62', '492.5', '528.2', '270.9', '235.6', '', '', '718', '599', '27.4', '26.4', '18541', '24126', '1187', '1279']
['Athlete 0', 'Squat Jump', '3/4/2020 16:54', '65.5', 'Trial 3', '', '', '', '', '-12.5', '6.4', '18.1', '10.1', '-23.1', '-12.5', '-35.6', '-20.9', '-45.2', '-61.3', '', '-32.5', '2.6', '-25.4', '-27.3', '-5.5', '-10.4', '', '-20.7', '-30.1', '2.3', '-10.0', '', '', '269.8', '236.0', '38.9', '41.5', '0.14', '0.18', '17.2', '19.1', '1982', '1524', '527', '461', '1741', '1121', '1375', '1087', '1920', '1052', '1063', '411', '', '', '724', '489', '123.7', '127.0', '146.1', '109.1', '1.18', '0.86', '526.4', '497.4', '261.6', '234.3', '', '', '733', '581', '29.7', '20.8', '28224', '28886', '1637', '1473']
