['ForceDecks Test Results Export', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Export Date', '4/20/2021 17:24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Export Profile', 'CMJ', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Export Test Type', 'Countermovement Jump', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Export Trials', 'Results from all trials within a test, one row/column per trial', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Key Result', 'N/A', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Athlete', 'ExtId', 'Test Type', 'Test Date', 'Body Weight [kg]', 'Trial', 'Athlete Standing Weight [kg]', 'Auto Weight End [s]', 'Auto Weight Start [s]', 'Braking Phase Duration:Concentric Duration', 'Braking Phase Duration:Contraction Time ', 'Braking Phase Duration [s]', 'CMJ Stiffness [N/m]', 'Concentric Duration [ms]', 'Concentric Impulse-50ms [Ns]', 'Concentric Impulse-100ms [Ns]', 'Concentric Impulse [Ns]', 'Concentric Maximum RFD [N/s]', 'Concentric Mean Force [N]', 'Concentric Mean Power / BM [W/kg]', 'Concentric Mean Power [W]', 'Concentric Peak Force / BM [N/kg]', 'Concentric Peak Force [N]', 'Concentric Peak Velocity [m/s]', 'Concentric RFD - 50ms [N/s]', 'Concentric RFD - 100ms [N/s]', 'Concentric RFD - 200ms [N/s]', 'Concentric RFD / BM [N/s/kg]', 'Concentric RFD [N/s]', 'Concentric RPD-50ms / BM [W/s/kg]', 'Concentric RPD - 50ms [W/s]', 'Concentric RPD-100ms / BM [W/s/kg]', 'Concentric RPD - 100ms [W/s]', 'Concentric RPD / BM [W/s/kg]', 'Concentric RPD [W/s]', 'Concentric Time to Peak Force [ms]', 'Contraction Time:Eccentric Duration [%]', 'Contraction Time [ms]', 'Countermovement Depth [cm]', 'Eccentric:Concentric Duration [%]', 'Eccentric:Concentric Mean Force Ratio [%]', 'Eccentric Acceleration Phase Duration [s]', 'Eccentric Braking Impulse [Ns]', 'Eccentric Braking RFD-100ms / BM [N/s/kg]', 'Eccentric Braking RFD-100ms [N/s]', 'Eccentric Braking RFD / BM [N/s/kg]', 'Eccentric Braking RFD [N/s]', 'Eccentric Deceleration Impulse [Ns]', 'Eccentric Deceleration Phase Duration [s]', 'Eccentric Deceleration RFD / BM [N/s/kg]', 'Eccentric Deceleration RFD [N/s]', 'Eccentric Duration [ms]', 'Eccentric Mean Braking Force [N]', 'Eccentric Mean Deceleration Force [N]', 'Eccentric Mean Force [N]', 'Eccentric Mean Power / BM [W/kg]', 'Eccentric Mean Power [W]', 'Eccentric Peak Force / BM [N/kg]', 'Eccentric Peak Force [N]', 'Eccentric Peak Power [W]', 'Eccentric Peak Velocity [m/s]', 'Eccentric Unloading Impulse [Ns]', 'Flight Time:Contraction Time', 'FlightTime:Eccentric Duration', 'Flight Time [ms]', 'Force at Peak Power [N]', 'Force at Zero Velocity [N]', 'Jump Height (Flight Time) [cm]', 'Jump Height (Flight Time) in Inches [in]', 'Jump Height (Imp-Dis) [cm]', 'Jump Height (Imp-Mom) [cm]', 'Jump Height (Imp-Mom) in Inches [in]', 'Lower-Limb Stiffness [N/m]', 'Mean Eccentric+Concentric Power:Time [W/s]', 'Minimum Eccentric Force [N]', 'Movement Start to Peak Force [s]', 'Movement Start to Peak Power [s]', 'P1 Concentric Impulse [Ns]', 'P2 Concentric Impulse [Ns]', 'Peak Net Takeoff Force / BM [N/kg]', 'Peak Power / BM [W/kg]', 'Peak Power [W]', 'Peak Takeoff Acceleration [m/s²]', 'Positive Impulse [Ns]', 'Positive Takeoff Impulse [Ns]', 'RSI-modified [m/s]', 'Start of Braking Phase [s]', 'Start of Concentric Phase [s]', 'Start of Eccentric Deceleration Phase [s]', 'Start of Integration [s]', 'Start of Movement [s]', 'Start of Movement Detection Threshold [N]', 'Takeoff Peak Force / BM [N/kg]', 'Takeoff Peak Force [N]', 'Time to Braking Phase [s]', 'Total Work [J]', 'Velocity at Peak Power [m/s]', 'Jump Height (FT) Relative Landing RFD [N/s/cm]', 'Jump Height (FT) Relative Peak Landing Force [N/cm]', 'Landing Net Peak Force / BM [N/kg]', 'Landing RFD [N/s]', 'Mean Landing Power [W]', 'Peak Landing Acceleration [m/s²]', 'Peak Landing Force / BM [N]', 'Peak Landing Force [N]', 'Peak Landing Power [W]', 'Peak Landing Velocity [m/s]', 'Athlete Standing Weight Asymmetry [% L,R]', 'CMJ Stiffness Asymmetry [% L,R]', 'Concentric Impulse-50ms Asymmetry [% L,R]', 'Concentric Impulse-100ms Asymmetry [% L,R]', 'Concentric Impulse Asymmetry [% L,R]', 'Concentric Maximum RFD Asymmetry [% L,R]', 'Concentric Mean Force Asymmetry [% L,R]', 'Concentric Peak Force Asymmetry [% L,R]', 'Concentric RFD Asymmetry [% L,R]', 'Concentric Time to Peak Force Asymmetry [% L,R]', 'Eccentric:Concentric Mean Force Ratio Asymmetry [% L,R]', 'Eccentric Braking Impulse (Asymmetry) [% L,R]', 'Eccentric Braking RFD-100ms Asymmetry [% L,R]', 'Eccentric Braking RFD Asymmetry [% L,R]', 'Eccentric Deceleration Impulse (Asymmetry) [% L,R]', 'Eccentric Deceleration RFD Asymmetry [% L,R]', 'Eccentric Mean Force Asymmetry [% L,R]', 'Eccentric Peak Force Asymmetry [% L,R]', 'Eccentric Unloading Impulse (Asymmetry) [% L,R]', 'Force at Peak Power Asymmetry [% L,R]', 'Force at Zero Velocity Asymmetry [% L,R]', 'P1 Concentric Impulse Asymmetry [% L,R]', 'P2 Concentric Impulse Asymmetry [% L,R]', 'Positive Impulse Asymmetry [% L,R]', 'Positive Takeoff Impulse Asymmetry [% L,R]', 'Start of Movement Asymmetry [% L,R]', 'Takeoff Peak Force Asymmetry [% L,R]', 'Landing RFD Asymmetry [% L,R]', 'Peak Landing Force Asymmetry [% L,R]', 'Athlete Standing Weight (Left) [kg]', 'Athlete Standing Weight (Right) [kg]', 'CMJ Left-Limb Stiffness [N/m]', 'CMJ Right-Limb Stiffness [N/m]', 'Concentric Impulse-50ms (Left) [Ns]', 'Concentric Impulse-50ms (Right) [Ns]', 'Concentric Impulse-100ms (Left) [Ns]', 'Concentric Impulse-100ms (Right) [Ns]', 'Concentric Impulse (Left) [Ns]', 'Concentric Impulse (Right) [Ns]', 'Concentric Maximum RFD (Left) [N/s]', 'Concentric Maximum RFD (Right) [N/s]', 'Concentric Mean Force (Left) [N]', 'Concentric Mean Force (Right) [N]', 'Concentric Peak Force (Left) [N]', 'Concentric Peak Force (Right) [N]', 'Concentric RFD (Left) [N/s]', 'Concentric RFD (Right) [N/s]', 'Concentric Time to Peak Force (Left) [ms]', 'Concentric Time to Peak Force (Right) [ms]', 'Eccentric:Concentric Mean Force Ratio (Left) [%]', 'Eccentric:Concentric Mean Force Ratio (Right) [%]', 'Eccentric Braking Impulse (Left) [Ns]', 'Eccentric Braking Impulse (Right) [Ns]', 'Eccentric Braking RFD-100ms (Left) [N/s]', 'Eccentric Braking RFD-100ms (Right) [N/s]', 'Eccentric Braking RFD (Left) [N/s]', 'Eccentric Braking RFD (Right) [N/s]', 'Eccentric Deceleration Impulse (Left) [Ns]', 'Eccentric Deceleration Impulse (Right) [Ns]', 'Eccentric Deceleration RFD (Left) [N/s]', 'Eccentric Deceleration RFD (Right) [N/s]', 'Eccentric Mean Force (Left) [N]', 'Eccentric Mean Force (Right) [N]', 'Eccentric Peak Force (Left) [N]', 'Eccentric Peak Force (Right) [N]', 'Eccentric Unloading Impulse (Left) [Ns]', 'Eccentric Unloading Impulse (Right) [Ns]', 'Force at Peak Power (Left) [N]', 'Force at Peak Power (Right) [N]', 'Force at Zero Velocity (Left) [N]', 'Force at Zero Velocity (Right) [N]', 'P1 Concentric Impulse (Left) [Ns]', 'P1 Concentric Impulse (Right) [Ns]', 'P2 Concentric Impulse (Left) [Ns]', 'P2 Concentric Impulse (Right) [Ns]', 'Positive Impulse (Left) [Ns]', 'Positive Impulse (Right) [Ns]', 'Positive Takeoff Impulse (Left) [Ns]', 'Positive Takeoff Impulse (Right) [Ns]', 'Start of Movement (Left) [s]', 'Start of Movement (Right) [s]', 'Takeoff Peak Force (Left) [N]', 'Takeoff Peak Force (Right) [N]', 'Landing RFD (Left) [N/s]', 'Landing RFD (Right) [N/s]', 'Peak Landing Force (Left) [N]', 'Peak Landing Force (Right) [N]', 'Eccentric Peak Power / BM [W/kg]', 'Eccentric Peak Power:Concentric Peak Power', 'P2 Concentric Impulse:P1 Concentric Impulse', 'Vertical Velocity at Takeoff [m/s]', 'Concentric Impulse-100ms:Concentric Impulse (Asymmetry) [% L,R]', 'Concentric RFD - 100ms (Asymmetry) [% L,R]', 'Concentric RFD - 200ms (Asymmetry) [% L,R]', 'Concentric RFD - 50ms (Asymmetry) [% L,R]', 'P2 Concentric Impulse:P1 Concentric Impulse (Asymmetry) [% L,R]', 'Landing Impulse (Asymmetry) [% L,R]', 'Concentric Impulse-100ms:Concentric Impulse (Left)', 'Concentric Impulse-100ms:Concentric Impulse (Right)', 'Concentric RFD - 100ms (Left) [N/s]', 'Concentric RFD - 100ms (Right) [N/s]', 'Concentric RFD - 200ms (Left) [N/s]', 'Concentric RFD - 200ms (Right) [N/s]', 'Concentric RFD - 50ms (Left) [N/s]', 'Concentric RFD - 50ms (Right) [N/s]', 'P2 Concentric Impulse:P1 Concentric Impulse (Left)', 'P2 Concentric Impulse:P1 Concentric Impulse (Right)', 'Landing Impulse (Left) [Ns]', 'Landing Impulse (Right) [Ns]']
['Athlete 0', 'sbuchan3', 'Countermovement Jump', '4/13/2021 09:38', '66.8', 'Trial 1', '', '', '', '159.18', '51.22', '0.546', '3948', '343', '20.0', '40.0', '148.7', '2998', '1087', '18.7', '1252', '20.4', '1363', '2.35', '246', '266', '910', '18.7', '1251', '94.8', '6330.9', '96.1', '6419.7', '147.3', '9836.9', '255', '147.4', '1066', '-34.5', '210.8', '60.3', '0.422', '19.0', '14', '960', '18', '1181', '57.2', '0.301', '19', '1295', '723', '689.9', '845.1', '655', '4.677', '312', '15.6', '1044', '610', '-0.855', '-57.1', '0.44', '0.65', '470', '1300', '1044', '27.1', '10.7', '25.2', '25.3', '10.0', '1867.82', '577.5', '399.3', '0.978', '1.005', '72.7', '76.0', '10.6', '41.5', '2775', '10.601', '415.7', '214.4', '0.25', '6.826', '7.372', '7.071', '6.649', '6.649', '18.484', '20.4', '1363', '0.177', '657', '2.134', '1341.309', '103.281', '32.060', '36321', '551.860', '32.060', '42', '2797', '4972', '0.525', '', '-2.5', '15.2', '11.4', '1.3', '23.7', '1.4', '-2.5', '-55.3', '', '3.8', '0.7', '23.0', '29.4', '1.1', '52.0', '5.2', '18.0', '9.6', '-2.9', '18.1', '6.1', '-3.4', '4.3', '1.3', '', '-2.5', '80.9', '61.8', '', '', '2000', '1949', '24.2', '28.6', '49.6', '56.0', '185.4', '188.0', '1314', '1722', '540', '547', '691', '673', '865', '386', '', '', '59.1', '61.5', '187.7', '189.0', '563', '731', '502', '711', '126.5', '127.9', '420', '875', '319', '336', '471', '574', '104.2', '115.2', '660', '640', '470', '574', '89.5', '95.2', '96.0', '92.7', '576.1', '602.1', '308.1', '312.4', '', '', '691', '673', '5334', '27890', '821', '2148', '9.1', '0.22', '1.05', '2.23', '10.2', '-100.0', '-84.2', '-100.0', '-9.3', '-21.6', '0.27', '0.30', '557', '-291', '786', '124', '532', '-286', '1.07', '0.97', '75.8', '59.4']
['Athlete 0', 'sbuchan3', 'Countermovement Jump', '4/13/2021 09:38', '66.8', 'Trial 2', '', '', '', '114.81', '40.37', '0.442', '3265', '385', '22.7', '42.2', '146.8', '3296', '1035', '17.8', '1188', '19.6', '1312', '2.34', '-484', '-1085', '-443', '10.0', '665', '109.4', '7309.8', '94.4', '6308.8', '124.2', '8294.2', '300', '154.2', '1095', '-40.2', '184.4', '63.3', '0.392', '47.5', '35', '2311', '27', '1835', '72.1', '0.318', '22', '1442', '710', '762.5', '881.9', '655', '5.544', '370', '16.7', '1113', '798', '-1.082', '-72.3', '0.42', '0.65', '465', '1264', '1113', '26.5', '10.4', '24.6', '24.6', '9.7', '2017.65', '601.6', '302.0', '1.010', '1.034', '72.1', '74.7', '9.8', '40.3', '2689', '9.840', '436.0', '228.2', '0.24', '11.922', '12.364', '12.046', '11.654', '11.654', '19.184', '19.6', '1312', '0.268', '722', '2.128', '1389.332', '111.147', '34.295', '36825', '543.868', '34.295', '44', '2946', '5264', '0.641', '', '-0.1', '17.2', '16.6', '7.7', '5.7', '7.8', '-0.1', '-65.3', '', '-1.6', '-4.2', '78.4', '37.6', '-2.1', '49.9', '6.3', '15.9', '17.7', '-0.2', '16.0', '13.5', '1.7', '-9.2', '3.8', '', '-0.1', '-37.3', '-28.7', '', '', '1637', '1635', '25.1', '30.3', '49.0', '58.7', '191.5', '207.6', '1648', '1748', '497', '539', '658', '657', '493', '171', '', '', '63.8', '62.8', '172.1', '164.9', '254', '1177', '670', '1074', '141.7', '138.8', '481', '960', '317', '338', '509', '605', '83.3', '101.2', '632', '631', '508', '605', '91.8', '106.1', '99.7', '101.5', '645.6', '586.3', '329.9', '343.1', '', '', '658', '657', '26521', '16627', '2122', '1513', '11.9', '0.30', '1.04', '2.20', '9.6', '50.0', '100.0', '-60.2', '-12.0', '-7.1', '0.26', '0.28', '-434', '-651', '-34', '-409', '-298', '-186', '1.09', '0.96', '53.8', '49.9']
['Athlete 0', 'sbuchan3', 'Countermovement Jump', '4/13/2021 09:38', '66.8', 'Trial 3', '', '', '', '117.17', '45.71', '0.464', '3472', '396', '22.3', '41.5', '148.4', '3642', '1029', '17.8', '1192', '20.0', '1335', '2.37', '-558', '-1096', '-532', '11.0', '733', '107.4', '7174.0', '92.5', '6180.5', '125.2', '8364.8', '311', '164.0', '1015', '-38.4', '156.3', '63.7', '0.315', '31.8', '26', '1752', '28', '1878', '74.5', '0.304', '22', '1492', '619', '723.6', '899.9', '655', '6.080', '406', '16.6', '1107', '811', '-1.115', '-74.5', '0.46', '0.75', '467', '1298', '1107', '26.7', '10.5', '25.1', '25.2', '9.9', '2267.40', '703.0', '235.2', '0.930', '0.949', '72.2', '76.3', '10.2', '41.3', '2761', '10.174', '441.1', '232.8', '0.26', '16.922', '17.386', '17.082', '16.767', '16.767', '17.284', '20.0', '1335', '0.155', '725', '2.128', '2244.858', '175.099', '60.270', '60014', '574.537', '60.270', '70', '4681', '8640', '0.644', '', '1.6', '14.6', '12.3', '3.2', '31.9', '3.2', '1.6', '-50.4', '', '10.3', '8.1', '-26.0', '10.6', '8.1', '23.6', '13.1', '15.0', '22.7', '1.0', '14.8', '6.6', '-0.3', '0.7', '5.3', '', '1.6', '-3.1', '-1.8', '', '', '1723', '1751', '25.3', '29.7', '50.0', '57.0', '200.7', '207.2', '1510', '2218', '506', '523', '662', '673', '490', '243', '', '', '60.2', '67.1', '160.8', '175.0', '1164', '861', '901', '1007', '131.1', '142.5', '646', '846', '305', '351', '509', '599', '57.5', '74.4', '646', '652', '509', '598', '97.5', '104.4', '103.2', '102.8', '645.1', '649.6', '327.9', '346.4', '', '', '662', '673', '30917', '29962', '2381', '2337', '12.1', '0.29', '1.06', '2.22', '9.4', '100.0', '100.0', '100.0', '-6.9', '-13.7', '0.25', '0.27', '-235', '-861', '-6', '-526', '-186', '-372', '1.06', '0.99', '46.3', '39.9']
